[@0,0:4='class',<4>,1:0]
[@106,375:375='{',<25>,37:1]
[@107,379:385='callout',<13>,38:2]
[@108,387:387='(',<23>,38:10]
[@109,389:395='display',<18>,38:12]
[@110,396:396=',',<30>,38:19]
[@111,398:416='" Max points = 10 "',<3>,38:21]
[@112,417:417=')',<24>,38:40]
[@113,418:418=';',<29>,38:41]
[@114,425:431='boolean',<17>,40:2]
[@115,433:442='input_more',<18>,40:10]
[@116,444:444='=',<20>,40:21]
[@117,446:449='true',<16>,40:23]
[@118,450:450=';',<29>,40:27]
[@119,455:457='for',<9>,42:2]
[@120,459:463='count',<18>,42:6]
[@121,465:465='=',<20>,42:12]
[@122,467:467='1',<14>,42:14]
[@123,468:468=',',<30>,42:15]
[@124,470:471='10',<14>,42:17]
[@125,475:475='{',<25>,43:2]
[@126,480:490='input_point',<18>,44:3]
[@127,491:491='(',<23>,44:14]
[@128,492:492=')',<24>,44:15]
[@129,493:493=';',<29>,44:16]
[@130,502:503='if',<7>,46:3]
[@131,505:505='(',<23>,46:6]
[@132,507:511='count',<18>,46:8]
[@133,513:514='>=',<19>,46:14]
[@134,516:517='10',<14>,46:17]
[@135,518:518=')',<24>,46:19]
[@136,523:523='{',<25>,47:3]
[@137,529:533='break',<11>,48:4]
[@138,534:534=';',<29>,48:9]
[@139,539:539='}',<26>,49:3]
[@140,544:547='else',<8>,50:3]
[@141,552:552='{',<25>,51:3]
[@142,559:565='callout',<13>,52:4]
[@143,566:566='(',<23>,52:11]
[@144,568:574='display',<18>,52:13]
[@145,575:575=',',<30>,52:20]
[@146,577:602='" Enter more points (0/1)"',<3>,52:22]
[@147,603:603=')',<24>,52:48]
[@148,604:604=';',<29>,52:49]
[@149,610:619='input_more',<18>,53:4]
[@150,621:621='=',<20>,53:15]
[@151,623:639='get_boolean_input',<18>,53:17]
[@152,640:640='(',<23>,53:34]
[@153,641:641=')',<24>,53:35]
[@154,642:642=';',<29>,53:36]
[@155,649:650='if',<7>,55:4]
[@156,652:652='(',<23>,55:7]
[@157,653:662='input_more',<18>,55:8]
[@158,664:665='==',<19>,55:19]
[@159,667:671='false',<16>,55:22]
[@160,672:672=')',<24>,55:27]
[@161,678:678='{',<25>,56:4]
[@162,685:689='break',<11>,57:5]
[@163,690:690=';',<29>,57:10]
[@164,696:696='}',<26>,58:4]
[@165,701:701='}',<26>,59:3]
[@166,705:705='}',<26>,60:2]
[@167,709:709='}',<26>,62:1]
[@168,712:712='}',<26>,64:0]
[@169,714:713='<EOF>',<-1>,65:0]
